Timestamp	1. Enter audio file name:	2. Audio transcription:
5/26/2024 22:01:00	bemba_news_item_4_612_621_9_9	Governonr wa bank of Zambia ba Christopher Mvunga ebaebele abena Zambia ukupoka umuti uwa bucingo bwa Covid 19 pakutila icalo cingakulilako mukuba bwino
5/26/2024 22:03:16	bemba_talkshow_item_1_375_378_3_2	Mukwai mucibemba kashiishi
5/26/2024 22:05:20	ilyashi_17_1520_1531_11_4	Akese mumona namenso akashimpemo ukutila uyu emalaika
5/26/2024 22:06:38	talkshow_6_1378_1380_2_2	Tekutila nakalimo ninshi
5/26/2024 22:31:34	utulimbusha_17_1066_1091_25_19	Ilyo aleya filya aya esha ifyo bacita baendaenda shikulubantu ebele awe paba ubwafya ubu moneni twalamona ifi nefii uyu muntu ni uyu wacita ifi elyo baishile esha ati aye cita ifi uyo baya mweba amashiwi bamwebele akutuluka ebele ee naine wine icacilantwala uku kumpanga  nshicishibe ni ndi ne ntambo mu mukashi ati ee uli mukuya mukuipaya. Ine? ati ee
5/26/2024 22:32:19	utulimbusha_17_1066_1091_25_19	Ilyo aleya filya aya esha ifyo bacita baendaenda shikulubantu ebele awe paba ubwafya ubu moneni twalamona ifi nefii uyu muntu ni uyu wacita ifi elyo baishile esha ati aye cita ifi uyo baya mweba amashiwi bamwebele akutuluka ebele ee naine wine icacilantwala uku kumpanga  nshicishibe ni ndi ne ntambo mu mukashi ati ee uli mukuya mukuipaya. Ine? ati ee
5/26/2024 22:36:37	utulimbusha_17_621_647_26_7	Ukulacita utushongolokoto mu ng'anda yamwine ifya fikile ebele calimiliile ekwamba ukubatibula, ukubalibaula, ukubatwa, ukubanaya
5/26/2024 22:38:15	utulimbusha_16_504_507_3_3	Aliikele mukwai nga tebwino no mwinamwakwe fye uwafima ndalama
5/26/2024 22:41:05	utulimbusha_15_918_930_12_11	Kwaba mukwai abaishibe fyakucita cita mucalo muno basakala nga bacilamo 0975108337,0975108337,0975108337
5/26/2024 22:48:29	utulimbusha_13_849_877_28_16	Kanshi ati ilyo baletunganye fi, atuma ababomfi kaiyeni bane kepayeniko isabi kumumana ati eilyo baileipaya mukwai imanda yesabi lyakutila tiger fish icikalamba nga nshi uku lubali muntu uku lubali mukwai cisabi efyo babweleleko ulubilo bebele kacipooseni kulya baciputula pakati ici icauku bapoosoku ici uku
5/26/2024 22:50:18	talkshow_6_2893_2895_2_2	Nga twasale ntungulushi ishikwete amano
5/26/2024 22:51:25	talkshow_6_2514_2529_15_2	I went, natampa ukubelenga ifitabo
5/26/2024 22:52:43	talkshow_6_2022_2025_3_2	Uko mwafuma nokotwafuma naimwe
5/26/2024 22:54:15	talkshow_6_2489_2491_2_2	Na-abokumona amacushi
5/26/2024 22:55:43	talkshow_6_1368_1371_3_2	Mukwai natootela, endita mukwai kanabesa
5/26/2024 22:56:45	talkshow_6_917_920_3_2	Mwaya pali ba neighbor mwaya mukulombako
5/26/2024 22:58:09	talkshow_6_795_797_2_2	Tabaishibo kutila mulya
5/26/2024 22:59:11	talkshow_6_251_253_2_2	Amasambililo twakonkanyapo
5/26/2024 23:00:27	talkshow_6_141_144_3_2	Natampile grade one pa Mufulira primary school
5/26/2024 23:02:05	talkshow_6_1_3_2_2	Bwalya nabo bayashi kwena
5/26/2024 23:04:29	talkshow_5_161_163_2_2	No mucanga waliya nabantu baliimba
5/26/2024 23:06:06	talkshow_4_3119_3121_2_2	Sure ba Chama America mwikala muno mu Kasama
5/26/2024 23:08:11	talkshow_4_2728_2730_2_2	Ama taila yandi 8 yalitulaike
5/26/2024 23:09:16	talkshow_4_2714_2722_8_2	Twambe ukucita export ku China
5/26/2024 23:12:45	talkshow_4_2486_2488_2_2	Pantu ifintu fyena nafikwela mu Zambia
5/26/2024 23:14:55	talkshow_4_2044_2046_2_2	Ee ba Chama Ameria nga muleumfwa
5/26/2024 23:16:21	talkshow_4_1758_1760_2_2	Noku nokubafumya bakabafumya abantu aba
5/26/2024 23:18:02	talkshow_4_736_738_2_2	Fyonse filya nga naba president uno mwaka  nga mwansala
5/26/2024 23:19:20	talkshow_4_187_189_2_2	ah Presidential candidate afwile acita 
5/26/2024 23:20:49	talkshow_3_3271_3274_3_2	Ama honda oh twaya pa Congo apa epo yacipa
5/26/2024 23:21:46	talkshow_3_3133_3135_2_2	Twaingilamo ne miku ibili muli ba Congo DR
5/26/2024 23:23:34	ilyashilyapanoisonde_37_796_798_2_2	Nga lilya mukwai twacilalanda iya mititi
5/27/2024 9:00:54	utulimbusha_13_836_849_13_12	Twayaiposa mukwai kulya ku mwense mu kanabesa balukwesa pa mushi pamushi pa cula apo apaponeke umupamba napo ati kwalifwapo umuntu umo ulya uwafwa ifi balitungwayapo fimo ku muntu uwatile alikwata amakonde nangu amasumbu kubana kufyalwa imikwau.
5/27/2024 9:09:11	utulimbusha_13_156_170_14_14	Bebele nifi fine afenta twalamwitila amneshi, ubushiku bumbi nashimike ukutila ati balimumine caumika! Basuka bauma mukwai napashele mukwai pa mise ya myona aleka nokupema bayamufundakisha ne fimuti mukanwa pakuti byelanda ati efyalile nangu efyo aipaileko.
5/27/2024 9:11:18	utulimbusha_12_636_644_8_7	Efyo nomba bantu baimine ukuya bekata, ekubatwala kuli kanabesa Batunga ati kanabesa akantu uku bakafinfita aba twaleta bapwa abantu.
5/27/2024 9:18:05	utulimbusha_11_1515_1533_18_17	Balimwishibile utuma mesasage uto alelembela akakashana nefyo balanda pa fya citemwiko ebele nasebana muli ili icalici, efyo aile ikulika no kuipaya aliipaya kulya ku Zimbambwe fino tulelanda kuli ingowa tekutila ati iyo naucita ifibi kabili walabikapo nefikansa iyo namwakuti namwakuti Lesa tefyo afwaya nakalya iyo.
5/27/2024 9:23:45	utulimbusha_11_947_975_28_16	Ukubasenda mukuba tocha umbi afwilile fye apopene umbi nao cishimikwe ati alifwa mailo kanshi kwali ukububuka abantu balefwaya ukufunda abanabo akanama kabibishi aba bakapokola ndesubila bafwile balibekata kuli bakapokola babiye bakamonekele mucilye bushe efyo baeba ukula tocha abantu tefyo ciba iyo.
5/27/2024 9:27:51	utulimbusha_11_216_226_10_9	Catulika mukwai twaya ukulya ku sanfya uko mukwai ukwa kwafumine ilyashi ilya bulanda nga nshi uko mukwai tunfwile ukutila baleipaya amashilu kulya katwishi abemine abalefweya ishi ndalama.
5/27/2024 9:36:19	utulimbusha_11_108_133_25_15	Ati iyo mukwai kaleteni fyakuti kaleteni nabalelanda ati iyo ifwe kuno batwebelefye ukupela abantu 40 ifwe kuno batupele abantu ukupela 60 kwena nshalandepo ifingi ndefwaya njite bashikulu ba Elias Mubanga bakese londolola nga cakuti ati baeba ati balepelako fye tala bamobamo tebonse abalefwaya ukupoka pantu,
5/27/2024 9:38:04	utulimbusha_10_1022_1027_5_5	0977925025 mwebalefwaya ukushinikisha mukwai ili lyashi ilyakalala mpunga!
5/27/2024 9:40:47	utulimbusha_10_746_750_4_3	Kumwense mukwai palya napo ati pa capwa eneya pa Calwe.
5/27/2024 9:42:57	utulimbusha_10_616_621_5_4	Ati icailebipa cakutila ati pantu mwalishiba kutantama pakuti ilya truck ikalonge.
5/27/2024 9:47:59	utulimbusha_9_1010_1022_12_12	8337 0975 108337, 0975 108337 bashikulu ba chileshe kulya nabo ni 097, 0777
5/27/2024 9:55:55	utulimbusha_9_929_957_28_14	Paba mukwai mu lupwa ndelumbula mukwai eaba mukwai ubuteko bwabika ukwikata balya bonse ababufi apaba na bashikulu bakadansa kulya kwa kamanga mukwai nabo nga baima kwena kuli aba bonse abacita ifyabuwelewele abebila abantu indalama.
5/27/2024 10:02:44	utulimbusha_9_746_752_6_6	Eekuyalya mukwai no mungolomya kunuma ya n'ganda ukulya mungolomya na bantu balemonako bambi balibakopa!
5/27/2024 10:05:47	utulimbusha_9_319_323_4_3	Ekuya eba Banyina ati unfweni ifyo tulenwa ifwe batwebele ati pakuti tukwate Amaka.
5/27/2024 10:09:52	utulimbusha_9_167_180_13_12	Muno Lusaka mwalisa icila, icila cimo icabipa nga nshi uko ba sakala baima apabuta tutu apakutila nga kumona ule-enda na phone ku mutwe elo baisa sompola fye bali na motoka bena basompola baya nokuya
5/27/2024 10:15:16	utulimbusha_9_151_166_15_15	Pakubala bale njipushe cinshi cacitike pantu bali mu ng'anda fye imo bafumine kumo kwine bafuma ku sukulu elyo nomba kwasa poneka imipamba yamusango ifi. Fino Ndelanda ku senga hill kuli ifililo fifkalmba nganshi fitatu ifyakutila napakulandila mukwai tatukwete.
5/27/2024 10:22:18	utulimbusha_8_1034_1052_18_17	Ala ubuteko bwalicibondola mukwa mu kuya poka iyakuti ati ule.. kanono fye balekuputula kanono washitamo impanga walakula nakayanda welo washita fye akacinga eko ule-endelapo tekubutukila ci motoka iyo  ndefwaya ci BMW ndefwaya mukwai ci jaguar eei abakwata ama jaguar balikumanina utekanye ukakwata.
5/27/2024 10:26:26	utulimbusha_8_456_468_12_12	Lyashi lya bulanda twenda mukwai tuli namashala so ba BP balisa ba sugar balisa ba shitoloko balisa ku bantu, ne milile teti wishibe ne fyakucita nga caba shani nga sungu bacita ifi iyo Lesa akaya balambula.
5/27/2024 10:32:09	utulimbusha_7_1169_1183_14_14	Mukulondolola mukwai umulumendo indalama baibile ashitishe mukwai cilemba. Ati ifyo cali uyu muntu ashitishe malemba bwino bwino fye apenda ndemona afumine kulya ku mpulungu panuma yakushitisha ebele iyo kandye ndeshitamo tumotumo iyo aileshitamo tumotumo ifyo...
5/27/2024 10:34:26	utulimbusha_6_881_905_24_5	Ulande ifi bauma pa nshetelo nangu mukwai pali akakene akalimba wapona wawa napanshi bapoka na fyonse nokuya baya.
5/27/2024 10:38:21	utulimbusha_6_735_746_11_10	Ku kasama mukwai kulya kumulobola turn off kwaliba mukwai ici akapatala nangu icipala ubuteko bwatwalako. Abantu kuncende iyi bailishanya kubabonfi bapali ici cipatala te bonse bamobamo.
5/27/2024 10:42:43	utulimbusha_6_493_518_25_9	Kuku chimalilo mukwai kulya ku Kasama abantu bapunda mutule! ati insala mukwai iyi yalabepaya kwamumbolo balesekela mukwai ku tumuti abantu bacenjebele fye balibililwa!
5/27/2024 10:51:26	utulimbusha_6_34_64_30_16	Ekusenda mukwai petro abikamo nefyo abikilemo no kuya ingila mu ng'anda muli ba 22 babushiku ba 11 koloko asukunsha ibotolo nokuposa pa mbaula ati ibotolo lyakantu efyo lya pulike na mpu!! no kupya ing'anda efyo umukashi apilile fye apopene no mwana wakwe uwakusanga mu ng'anda.
5/27/2024 10:55:49	utulimbusha_5_612_636_24_12	Apitapita abantu baye palya bapite panshila ilya ine palebombela bamu sanga ali mu booth aletinaula na phone. Kanshi kasuba no bushiku abantu balefwayako bashimapepo nabacenjela kulya ku ncede ya cibombo ku lukanga swamp kulya.
5/27/2024 10:57:45	utulimbusha_5_474_480_6_5	Twayaiposa mukwai kulya ku lukanga swamp ku chibombo nako ukwaponeke umupamba uko bantu baletina ukwenda.
5/27/2024 11:00:21	utulimbusha_5_41_67_26_8	Umulumendo mukwai naikulika panuma mukwai yakusanga akamukati akamwina mwakwe ako batila akafunga mafyafya mukwai mwalishiba kwaliba akafunga mabele. 
5/27/2024 11:02:06	utulimbusha_4_1402_1405_3_2	Ku kancibiya mukwai kwa binga ati umulumendo mukwai
5/27/2024 11:05:15	utulimbusha_4_1251_1275_24_5	Ku Mpika mukwai ndemona kulya ku citompe ku mushi pa village kwenemo citompe Village mukwai nako...
5/27/2024 11:06:50	utulimbusha_4_0_5_5_5	Ecalenga mukwai ala nga nakokola pa nengo balafwaya ukunguma amapi abalumendo natendekela kulya ku cilubi
5/27/2024 11:09:00	utulimbusha_3_551_578_27_6	Kwasaili kwaliba icishima ico mukwai ubuteko bwaimba ubu ubuteko bwaliwamya abantu epo bapusukila ku menshi epo batapa.
5/27/2024 11:11:43	utulimbusha_3_528_535_7_6	Ciwa camusendele ifintu nangu tulelola kwisa? Katwishi tulelikonka bakatushimikilako bakamoneke uko tukafika tukesamishimikilako uyu mulungu.
5/27/2024 11:15:35	utulimbusha_3_450_471_21_14	Akalimbusha katile filya fine mukwai balekanda umulokoso balenwa ubwalwa mukwai baleitimba mukwai amatokoso epalya panuma yakukanda iyo mune nakutemwa nakutemwa mulya mucikulwa ca bwalwa efyo namayo ulya asumine bamushitila mukwai na pack!
5/27/2024 11:21:01	utulimbusha_2_1324_1354_30_12	Ku Haiti ifipondo fyalima basakala ukuti ati ubuteko afumepo minister uyo nashani napo nga ni prime minister fino ndelanda kuli akantu ulya ku Haiti taciweme nangu panono teti wishibe ifilecitika. Ku Ba Putin kulya ku ku su ku Russia ati bali wina....
5/27/2024 11:22:42	utulimbusha_2_964_987_23_5	Mwebabombela pa Airtel money twatotela pakulafunda mwekabungwe pakufunda aba abana abalelusa nga nshi indama.
5/27/2024 11:25:59	utulimbusha_2_940_963_23_9	Na ginger mwibotolo ili ne fi akamwana kalilela ku nsala mukwai namukukacusha kuli ba sakala pa shiku 8 ekukasenda ku cipatala nokuya mona icikope ati niakakene.
5/27/2024 11:34:52	utulimbusha_2_591_594_3_2	Naiposa mukwai kulya ku Mwinilunga kulya batila ku rosedensity.
5/27/2024 11:42:47	utulimbusha_2_507_535_28_17	Ubushiku bumo ubo baleya mupanga no mwina mwakwe nabatangishanya filya fine tutangisha banamayo nga muleya mumpanga nukobeka kasembe nakulu bantu napapa no mwana nomwana baleya. Ekwisa bula nakulubantu ukwisamufyombotola umwana munuma panuma yakumwikata pa kwanwa napa myona afenta apona efyo uyu shikulu bantu asendele uyu mwana noko ayile takwaishikwe.
5/27/2024 12:11:04	utulimbusha_2_455_465_10_10	Ekutina yangu tata Lesa nalacita shani? Kutumina bashikulu ba sambamo kanabesa kuno ine akafifi kalanjipaya nshilelolesha katwishi abene mukwai umo Lesa abapelela amono efyo bacita ekumukupawila.
5/27/2024 12:12:39	utulimbusha_2_449_454_5_5	Kalati nga kaya pa musebo amenso yashima kaya pa musebo amenso yashima kayamba ukukwikala ku ng'anda nokucula.
5/27/2024 12:14:58	utulimbusha_2_3_25_22_6	Ku kabombo mukwai kuli ilyashi tulekonkaka uko mukwai batungenyeko abaume balili ukutila balyupana pa caume cekaceka.
5/27/2024 12:22:17	utulimbusha_1_1349_1363_14_14	Efyo nomba uyu umbi umunakwe atendeke ukulalansha iyo uu nalikutemwa icibi, uliwankanda iyatelela no bupipi ubu bwakunkubula umutima. Umukashana ebele awe nakalya shikulu ine nshimitemenwe nakalya ekumunwensha mukwai polokiyo mukwai inyungula elyo aba bafuti!
5/27/2024 12:27:22	utulimbusha_1_1087_1112_25_19	Ekupita na mano lesa abapela bakupawila abene panuma ya nshiku shitatau efyo calobele ekuabalondola fyapamulabasa pano teti tulondolole cintu cakosa nga nshi, fino ndelanda balefwaya ukushinikisha ili lyashi mukwai kuti batuma pa 0977925025, 0977925025Ekupita na mano lesa abapela bakupawila abene panuma ya nshiku shitatau efyo calobele ekuabalondola fyapamulabasa pano teti tulondolole cintu cakosa nga nshi, fino ndelanda balefwaya ukushinikisha ili lyashi mukwai kuti batuma pa 0977925025, 0977925025
5/27/2024 12:29:20	utulimbusha_1_1087_1112_25_5	Catuposa mukwai kulya ku ncende ya cifunabuli kuli kanabesa ba Mulongwe uko batile uku kuntu.....
5/27/2024 12:32:11	utulimbusha_1_817_826_9_9	Papensu mukwai apa napo Papensulumofya efyo bapeta ati abantu nacibapesha amano ifilecitika teti wishibe... ati ifyo cili fyakutila......
5/27/2024 12:35:18	talkshow_7_1524_1536_12_3	namulanda pa benefits yalya nalilandilepo na kukasama na benefits aya.
5/27/2024 12:38:42	talkshow_7_980_985_5_5	Once more we sincerely thank you mr President and we bless You.
5/27/2024 12:42:58	talkshow_7_732_749_17_10	And we consider it as a blessing to ask as traditional leaders because it's the first thing of its kind in our histrory in the Histrory of Zambia especially..
5/27/2024 12:45:27	talkshow_7_472_477_5_5	Tuleita baimwe muli imwe ubo bapekenye ukuti ese apokelele bakateka.
5/27/2024 12:47:49	talkshow_7_394_400_6_6	Bakateka tumonane naimwe elyo nomba twingaya pantu nimwe mwakwata themometer yafya bantu bekele.
5/27/2024 12:48:54	talkshow_7_376_379_3_3	First born uwapamwinshi wenu.
5/27/2024 12:50:02	talkshow_7_294_297_3_3	Counselor afuma mu mushi elyo asanguka counselor
5/27/2024 12:53:42	talkshow_7_249_256_7_7	Mukwai bammmm tata na bamayo nga ma headmen ba mwine mushi.
5/27/2024 13:13:37	talkshow_7_113_130_17_6	Lumbanyeni Zambia!
5/27/2024 13:14:56	talkshow_6_3093_3097_4_3	Ee aya ama ideas nabika muli ili ibuka,amano nabika muli ili ibuku
5/27/2024 13:19:02	talkshow_6_2672_2682_10_9	Ubunoshi bwa cino calo efikasa fya calo ndefwaya ukwingilamo nshilefwaya  ifikansa fyacalo ifyakula lumbula amashina insele musalula nafimbi nshilefwaya nangu fye panono.
5/27/2024 16:00:52	talkshow_6_2449_2453_4_3	Ck pakuti nalelo abwele mu PF ni lesa mmmmm Eee
5/27/2024 16:02:30	talkshow_6_1968_1972_4_3	Twaile muli ba Joshua kanganja the late ba secretary to cabinet.
5/27/2024 16:05:39	talkshow_6_1946_1953_7_6	Bacitile plan ati inugration yaba sata ilebela ku mulungu ku paliament building pantu eko ba RB batumine fyonse.
5/27/2024 16:10:05	talkshow_6_1936_1943_7_6	Mailo tukalanshanye nga twapoka Goverment ninshi ama results yafuma ubushiku. Twepanganina pamo apo pa melomumba road. Emukwai.
5/27/2024 16:12:22	talkshow_6_1359_1368_9_8	Ee pantu tunfwa ukwanfuma ishiwi lyakutila amapolitics mmmmmm balanda ukutila niba pempenyembe abalaile imfumu umusengele wacela
5/27/2024 16:13:41	talkshow_6_1197_1204_7_6	Batupelako ulutampulo lwabo ulwendo lwabo ukushinta apo bafika nga bandubululwila.
5/27/2024 16:15:37	talkshow_6_1071_1073_2_2	Tuposeko sana amano, amani ifi fine
5/27/2024 16:18:01	talkshow_6_819_824_5_4	Elyo baitampile ukubekata batata fyonse ifipe baletampa ukupoka
5/27/2024 16:22:56	talkshow_6_588_597_9_8	Democracy umuntu onse afwakw afwile ailandila nokuiendela nokuicitila ifyo alefwaya, ca cine. Nomba ici icakweba ati ukuti kuco abafye mucipani cimo.
5/27/2024 16:30:55	talkshow_6_498_511_13_12	Emukwai. eco ningatampilapo ukulondolola cakutila ine nakula mu ng'anda ya fikansa fya calo. Emukwai. tse Batata bali mufikansa fya calo as a youth.Emukwai. Bakulile mu UNIP
5/28/2024 12:05:00	talkshow_6_436_441_5_5	 Natwampane capamo twendele capamo muli ino program pakutila tunfwilemo ifingi.
5/28/2024 12:39:05	talkshow_6_291_312_21_8	Limo teti bonfwe cimbi ico tulelanda mu mutima, ndubulwila nani? Ninani Mukwai. Ee pantu ino program nangula ubulondoloshi bwenu.
5/28/2024 12:40:32	talkshow_6_241_246_5_4	Ummmmm nakutofela emukwai ee twaishileisanga fye ku national service ku kafue.
5/28/2024 12:41:49	talkshow_6_171_177_6_3	Elo number 2 ninshi batata balyamba ama politics.
5/28/2024 21:35:17	talkshow_6_91_98_7_7	Ku Saint Jones ku kombe avenue ku UCZ ku church ku mwesu emukwai ee ndi mwana walukuta.
5/28/2024 21:42:01	talkshow_5_382_399_17_16	Twaima na ba kateka wandi ukwisa mona abena kaputa ifyo bekala lelo cabulanda sana ilyo nafikile muno mwakaputa ukufuma ku kasama nabutile ukufuma patukondo mpaka napa mutwe umusebo nalepitamo nalolesha kwati sure takwaba ba MP.
5/28/2024 21:47:15	talkshow_5_277_295_18_17	Iya kuli ba Pf members abantu aba voter nama political parties yambi ukweba ati comed pa 12 August nsaleni nga MP nsaleni ngo muntu wenu  umwina kaputa uwaishiba ico amcushi yaba not umuntu afuma ukutali.
5/28/2024 21:52:53	talkshow_5_181_190_9_9	Nkamyeba ifyo ningafwa nga cakweba ati nakwanishe impiya pantu pali ino inshita teti nkwanishe ukupanga ama toilets. Natotela mukwai so nomba apo nomba lekeni mpwishe ba.... Emukwai
5/28/2024 21:55:19	talkshow_4_3251_3255_4_4	757295 kuti bantumina mukwai bonse muli abapokelelwa!
5/28/2024 21:57:29	talkshow_4_2978_2981_3_2	Bakafundisha muma schools tamwaba.
5/28/2024 21:58:50	talkshow_4_2783_2787_4_4	kuti nalanda nomba President umwine eufwile ukucita decide.
5/28/2024 22:02:01	talkshow_4_2768_2773_5_5	Elyo ulya umwipwa musunga nao alanda ati naine kumukoshi nakwisa.. nakwisa sausage
5/28/2024 22:05:02	talkshow_4_2742_2747_5_5	But ilyo nale-enda naba Lunda nalebeba ifyakucita nomba tabaleunfwa pantu tabonfwa.
5/28/2024 22:08:40	talkshow_4_2714_2722_8_2	Twambe ukucita export ku china
5/28/2024 22:12:27	talkshow_4_2614_2618_4_3	Tulefwaya tukaleshe ukucita export cotton mu (Cough Cough) muli Raw material
5/28/2024 22:21:52	talkshow_4_2240_2243_3_3	Nga mwacimona ati Kalaba alelanda fye pantu aleasuka nomba naba ngasukilako
5/28/2024 22:27:51	talkshow_4_2063_2070_7_7	Elo mwailafwaya mulepontela abantu kwati bonse bantu bali cimo cine abantu ififine twapusana amenso ne Mitima efyo twapusana.
